RtlFreeHeap(0x110000L , 0x0L , 0x122f98L) = 0x1
RtlFreeHeap(0x110000L , 0x0L , 0x12d7c8L) = 0x1
RtlFreeHeap(0x110000L , 0x0L , 0x122378L) = 0x1
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x395eca0L) = 0x200001
RtlFreeHeap(0x3b0000L , 0x0L , 0x395e8e0L) = 0xe30001
RtlFreeHeap(0x3b0000L , 0x0L , 0x1a799f8L) = 0x170001
RtlFreeHeap(0x3b0000L , 0x0L , 0x1a7ce20L) = 0xc20001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x54L) = 0x1a7ce20
RtlAllocateHeap(0x3b0000L , 0x0L , 0x7L) = 0x420770
RtlAllocateHeap(0x3b0000L , 0x0L , 0x7L) = 0x4207d0
RtlAllocateHeap(0x3b0000L , 0x0L , 0x20L) = 0x39ff7f8
RtlAllocateHeap(0x3b0000L , 0x0L , 0x4L) = 0x420830
RtlFreeHeap(0x3b0000L , 0x0L , 0x420830L) = 0x1a0001
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x420770L) = 0x2e0001
RtlFreeHeap(0x3b0000L , 0x0L , 0x4207d0L) = 0x160001
RtlFreeHeap(0x3b0000L , 0x0L , 0x39ff7f8L) = 0x98a0001
RtlFreeHeap(0x3b0000L , 0x0L , 0x1a7ce20L) = 0xc20001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x54L) = 0x1a7ce20
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3L) = 0x4207d0
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3L) = 0x420770
RtlAllocateHeap(0x3b0000L , 0x0L , 0x10L) = 0x395e8e0
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
RtlAllocateHeap(0x3b0000L , 0x0L , 0x3cL) = 0x39dc698
RtlFreeHeap(0x3b0000L , 0x0L , 0x39dc698L) = 0xec0001
